player_id,total_points,role,runs,batting_strike_rate,batting_average,100s,50s,wickets,bowling_strike_rate,economy,bowling_average,4w_per_innings
2263736.0,100.0,batsman,4031.0,115.6732608695652,43.81521739130435,2.0,38.0,,,,,
313809.0,100.0,batsman,2798.0,114.3880952380952,33.30952380952381,3.0,20.0,,,,,
7491224.0,100.0,batsman,1983.0,123.35125,35.41071428571428,4.0,9.0,,,,,
5595302.0,115.0,bowler,8.0,59.334,1.6,0.0,0.0,21.0,12.72727272727273,5.636363636363637,9.901515151515152,2.0
328607.0,155.0,bowler,61.0,109.718,12.2,0.0,0.0,27.0,13.73333333333333,5.8112,13.37333333333333,2.0
2943443.0,115.0,bowler,1.0,50.0,0.5,0.0,0.0,16.0,13.5,5.797142857142857,12.80357142857143,2.0
3298427.0,165.0,all-rounder,762.0,111.5416129032258,24.58064516129032,0.0,5.0,23.0,9.782608695652174,6.833043478260869,9.097826086956523,1.0
3519011.0,165.0,all-rounder,802.0,104.8092307692308,15.42307692307692,0.0,5.0,76.0,16.92971014492754,6.692173913043479,17.14371980676328,2.0
2124002.0,165.0,all-rounder,1683.0,122.781095890411,23.05479452054794,1.0,9.0,3.0,7.5,6.973333333333333,5.0,0.0
4640824.0,155.0,all-rounder,1273.0,119.114794520548,17.43835616438356,0.0,8.0,96.0,13.86973180076628,8.940459770114941,19.50325670498085,5.0
4888218.0,140.0,wicketkeeper,484.0,140.6036363636364,22.0,0.0,1.0,3.0,12.85714285714286,6.5,8.0,0.0
